Country ,long,lat
Afghanistan,66.39159363,33.98299275
Åland Islands,20.3591835,60.25403213
Albania,19.87170014,41.00017358
Algeria,3.19771194,27.8986169
American Samoa,-170.6950175,-14.30634641
Andorra,1.5520134,42.54057088
Angola,16.70933622,-12.16469683
Anguilla,-63.068613,18.22053521
Antarctica,10.48095703,-45.13806295
Antigua and Barbuda,-61.42014426,17.48060423
Argentina,-64.97897469,-38.01529308
Armenia,45.01072318,40.13475528
Aruba,-69.968338,12.52109661
Australia,133.5554094,-26.29594646
Austria,13.18776731,47.63125476
Azerbaijan,47.46706372,40.35321757
Bahamas,-77.68192453,24.45991732
Bahrain,50.65932354,25.90740996
Bangladesh,90.49915527,24.08273251
Barbados,-59.543196,13.19383077
Belarus,27.953389,53.58628747
Belgium,4.469936,50.49593874
Belize,-88.01424956,17.21153631
Benin,2.29386134,9.37180859
Bermuda,-64.76182765,32.31995785
Bhutan,90.433603,27.50752756
Bolivia,-65.19265691,-16.74518128
"Bonaire, Saint Eustatius And Saba",-68.2883117,12.17229702
Bosnia and Herzegovina,17.8164091,44.00040856
Botswana,24.22344422,-22.18279485
Bouvet Island,3.413196,-54.42316906
Brazil,-53.331526,-11.80965046
British Indian Ocean Territory,72.4242528,-7.33461519
Brunei,114.6013282,4.54189364
Bulgaria,25.485832,42.70160678
Burkina Faso,-1.561591,12.22492458
Burundi,29.88592902,-3.40499707
Cabo Verde,-23.6051701,15.11988711
Cambodia,104.8481427,12.83288883
Cameroon,12.72825915,7.38622543
Canada,-106.6983315,60.36196817
Cayman Islands,-81.254598,19.31322102
Central African Republic,20.64281514,6.8254183
Chad,18.78714064,14.80342407
Chile,-71.40014474,-38.0176079
China,103.558192,36.7145744
Christmas Island,105.680838,-10.49170619
Cocos (Keeling) Islands,96.84689104,-12.12890685
Colombia,-73.53927436,3.6818232
Comoros,43.333302,-11.64529989
Congo,15.6903319,-0.68967806
Cook Islands,-159.777669,-21.23673066
Costa Rica,-84.09949534,9.98427463
Côte d'Ivoire,-5.49214636,7.59684148
Croatia,16.29039507,44.81372482
Cuba,-79.00064743,21.54513189
Curaçao,-69.02160369,12.20710309
Cyprus,33.429861,35.12450768
Czechia,15.53888197,49.76026136
Democratic Republic of the Congo,23.01110741,-4.05373938
Denmark,9.41938953,54.71794021
Djibouti,42.65344839,11.75959257
Dominica,-61.370974,15.41473963
Dominican Republic,-70.162649,18.73076761
Ecuador,-78.55693916,-1.22919037
Egypt,30.8025,26.71650873
El Salvador,-88.896528,13.79043561
Equatorial Guinea,10.267897,1.65068442
Eritrea,39.61204792,15.21227764
Estonia,25.38165099,58.74041141
Ethiopia,39.84148164,9.10727589
European Union,14.2684314,48.76380654
Falkland Islands (Malvinas),-59.523611,-51.78838251
Faroe Islands,-6.911804,61.88590482
Fiji,178.065036,-17.71219757
Finland,26.36339137,64.69610892
France,2.60926281,46.48372145
French Guiana,-52.97746057,4.01114381
French Polynesia,-149.406839,-17.66243898
French Southern and Antarctic Lands,69.348563,-49.27235903
Gabon,11.43916591,-0.43426435
Georgia,44.17329916,41.82754301
Germany,10.97887975,50.82871201
Ghana,-1.29234904,7.69154199
Gibraltar,-5.34404779,36.14864641
Greece,24.53794505,38.52254746
Greenland,-34.38651956,71.42932629
Grenada,-61.678994,12.11644807
Guadeloupe,-61.550994,16.26472785
Guam,144.8074779,13.44410137
Guatemala,-89.96707712,15.72598421
Guernsey,-2.585272,49.46565975
Guinea,-11.31711839,9.94301472
Guinea-Bissau,-15.180407,11.80050682
Guyana,-58.72692293,4.47957059
Haiti,-72.79607526,19.07430861
Heard Island And McDonald Islands,73.504158,-53.08168847
Honduras,-87.01643713,14.64994423
Hong Kong,114.1465779,22.33728531
Hungary,19.35499657,46.97670384
Iceland,-18.57038755,64.99294495
India,78.50146222,20.46549519
Indonesia,121.1832979,-2.4622968
Iran,51.28204814,31.40240324
Iraq,43.19590056,32.90170182
Ireland,-8.21092302,53.10101628
Isle of Man,-4.548054,54.23562697
Israel,34.91753797,30.85883075
Italy,12.67725128,41.7781084
Jamaica,-77.297506,18.10838487
Japan,137.6706606,37.51848822
Jersey,-2.131246,49.21440771
Jordan,36.3757551,31.31616588
Kazakhstan,68.81334444,45.38592596
