"","Country","Region","Rank","HI","PCI","Family","Health","Freedom","Trust..Government.Corruption.","Generosity","Dystopia.Residual","long","lat"
"1","Switzerland","Western Europe",1,7.587,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2.51738,8.227512,46.81010721
"2","Iceland","Western Europe",2,7.561,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,2.70201,-18.57038755,64.99294495
"3","Denmark","Western Europe",3,7.527,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,2.49204,9.41938953,54.71794021
"4","Norway","Western Europe",4,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531,13.50069228,65.04680297
"5","Canada","North America",5,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,-106.6983315,60.36196817
"6","Finland","Western Europe",6,7.406,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,2.61955,26.36339137,64.69610892
"7","Netherlands","Western Europe",7,7.378,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,2.4657,4.98914998,52.33939951
"8","Sweden","Western Europe",8,7.364,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2.37119,16.73188991,61.42370427
"9","New Zealand","Australia and New Zealand",9,7.286,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2.26425,171.7658618,-40.95025298
"10","Australia","Australia and New Zealand",10,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646,133.5554094,-26.29594646
"11","Israel","Middle East and Northern Africa",11,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,3.08854,34.91753797,30.85883075
"12","Costa Rica","Latin America and Caribbean",12,7.226,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,3.17728,-84.09949534,9.98427463
"13","Austria","Western Europe",13,7.2,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332,13.18776731,47.63125476
"14","Mexico","Latin America and Caribbean",14,7.187,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,3.60214,-102.3330534,22.92036676
"15","United States","North America",15,7.119,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,-102.3925645,37.66895362
"16","Brazil","Latin America and Caribbean",16,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001,-53.331526,-11.80965046
"17","Luxembourg","Western Europe",17,6.946,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,1.96961,6.129587,49.81327712
"18","Ireland","Western Europe",18,6.94,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,1.9757,-8.21092302,53.10101628
"19","Belgium","Western Europe",19,6.937,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484,4.469936,50.49593874
